_Id,_UserId,_Name,_Date,_Class,_TagBased
1,2,Autobiographer,2011-08-23T18:00:07.493,3,False
2,3,Autobiographer,2011-08-23T18:00:07.493,3,False
3,4,Autobiographer,2011-08-23T18:05:07.407,3,False
4,5,Autobiographer,2011-08-23T18:35:41.863,3,False
5,6,Autobiographer,2011-08-23T19:00:48.687,3,False
6,6,Critic,2011-08-23T19:00:48.920,3,False
7,7,Autobiographer,2011-08-23T19:05:48.663,3,False
8,8,Autobiographer,2011-08-23T19:10:48.703,3,False
9,9,Autobiographer,2011-08-23T19:15:48.680,3,False
10,11,Autobiographer,2011-08-23T19:15:48.680,3,False
11,10,Critic,2011-08-23T19:15:48.757,3,False
12,4,Editor,2011-08-23T19:15:48.803,3,False
13,3,Critic,2011-08-23T19:17:16.747,3,False
14,15,Autobiographer,2011-08-23T19:20:48.750,3,False
15,16,Autobiographer,2011-08-23T19:20:48.750,3,False
16,17,Autobiographer,2011-08-23T19:20:48.750,3,False
17,18,Autobiographer,2011-08-23T19:20:48.750,3,False
18,19,Autobiographer,2011-08-23T19:20:48.750,3,False
19,20,Autobiographer,2011-08-23T19:20:48.750,3,False
20,25,Autobiographer,2011-08-23T19:20:48.750,3,False
21,20,Critic,2011-08-23T19:20:48.827,3,False
22,5,Student,2011-08-23T19:20:48.983,3,False
23,17,Supporter,2011-08-23T19:20:48.997,3,False
24,18,Supporter,2011-08-23T19:20:48.997,3,False
25,4,Teacher,2011-08-23T19:20:49.013,3,False
26,30,Autobiographer,2011-08-23T19:25:48.677,3,False
27,31,Autobiographer,2011-08-23T19:25:48.677,3,False
29,33,Autobiographer,2011-08-23T19:25:48.677,3,False
30,37,Autobiographer,2011-08-23T19:25:48.677,3,False
31,27,Editor,2011-08-23T19:25:48.740,3,False
32,4,Student,2011-08-23T19:25:48.927,3,False
33,15,Student,2011-08-23T19:25:48.927,3,False
34,4,Supporter,2011-08-23T19:25:48.943,3,False
35,25,Supporter,2011-08-23T19:25:48.943,3,False
37,30,Supporter,2011-08-23T19:25:48.943,3,False
38,38,Autobiographer,2011-08-23T19:30:56.563,3,False
39,39,Autobiographer,2011-08-23T19:30:56.563,3,False
40,41,Autobiographer,2011-08-23T19:30:56.563,3,False
41,27,Organizer,2011-08-23T19:30:56.737,3,False
42,19,Student,2011-08-23T19:30:56.813,3,False
43,12,Supporter,2011-08-23T19:30:56.813,3,False
44,15,Supporter,2011-08-23T19:30:56.813,3,False
47,37,Supporter,2011-08-23T19:30:56.813,3,False
48,20,Teacher,2011-08-23T19:30:56.843,3,False
49,46,Autobiographer,2011-08-23T19:35:57.600,3,False
50,16,Student,2011-08-23T19:35:57.740,3,False
51,18,Student,2011-08-23T19:35:57.740,3,False
52,16,Supporter,2011-08-23T19:35:57.740,3,False
53,20,Supporter,2011-08-23T19:35:57.740,3,False
54,40,Supporter,2011-08-23T19:35:57.740,3,False
55,34,Teacher,2011-08-23T19:35:57.773,3,False
56,49,Autobiographer,2011-08-23T19:40:57.623,3,False
57,50,Autobiographer,2011-08-23T19:40:57.623,3,False
58,51,Autobiographer,2011-08-23T19:40:57.623,3,False
59,52,Autobiographer,2011-08-23T19:40:57.623,3,False
60,53,Autobiographer,2011-08-23T19:40:57.623,3,False
61,5,Supporter,2011-08-23T19:40:58.107,3,False
62,53,Supporter,2011-08-23T19:40:58.107,3,False
63,58,Autobiographer,2011-08-23T19:45:57.663,3,False
64,59,Autobiographer,2011-08-23T19:45:57.663,3,False
65,61,Autobiographer,2011-08-23T19:45:57.663,3,False
67,41,Supporter,2011-08-23T19:45:57.897,3,False
68,49,Supporter,2011-08-23T19:45:57.897,3,False
69,56,Supporter,2011-08-23T19:45:57.897,3,False
70,58,Supporter,2011-08-23T19:45:57.897,3,False
71,8,Teacher,2011-08-23T19:45:57.927,3,False
72,62,Autobiographer,2011-08-23T19:50:57.640,3,False
73,63,Autobiographer,2011-08-23T19:50:57.640,3,False
74,65,Autobiographer,2011-08-23T19:50:57.640,3,False
75,49,Editor,2011-08-23T19:50:57.733,3,False
76,28,Supporter,2011-08-23T19:50:58.043,3,False
77,62,Supporter,2011-08-23T19:50:58.043,3,False
78,44,Teacher,2011-08-23T19:50:58.090,3,False
79,52,Teacher,2011-08-23T19:50:58.090,3,False
80,66,Autobiographer,2011-08-23T19:55:57.647,3,False
81,69,Autobiographer,2011-08-23T19:55:57.647,3,False
82,4,Critic,2011-08-23T19:55:57.710,3,False
83,47,Critic,2011-08-23T19:55:57.710,3,False
84,52,Critic,2011-08-23T19:55:57.710,3,False
85,69,Critic,2011-08-23T19:55:57.710,3,False
86,41,Student,2011-08-23T19:55:57.927,3,False
87,45,Supporter,2011-08-23T19:55:57.943,3,False
88,52,Supporter,2011-08-23T19:55:57.943,3,False
89,59,Supporter,2011-08-23T19:55:57.943,3,False
90,69,Supporter,2011-08-23T19:55:57.943,3,False
91,70,Supporter,2011-08-23T19:55:57.943,3,False
92,47,Teacher,2011-08-23T19:55:57.990,3,False
93,4,Quorum,2011-08-23T20:00:07.903,3,False
94,8,Quorum,2011-08-23T20:00:07.920,3,False
95,43,Quorum,2011-08-23T20:00:07.920,3,False
96,41,Quorum,2011-08-23T20:00:07.920,3,False
97,69,Precognitive,2011-08-23T20:00:08.043,3,False
98,46,Precognitive,2011-08-23T20:00:08.043,3,False
100,22,Precognitive,2011-08-23T20:00:08.060,3,False
101,12,Precognitive,2011-08-23T20:00:08.060,3,False
102,41,Precognitive,2011-08-23T20:00:08.060,3,False
103,25,Precognitive,2011-08-23T20:00:08.060,3,False
104,56,Precognitive,2011-08-23T20:00:08.060,3,False
105,16,Precognitive,2011-08-23T20:00:08.060,3,False
106,54,Precognitive,2011-08-23T20:00:08.060,3,False
108,65,Precognitive,2011-08-23T20:00:08.060,3,False
109,24,Autobiographer,2011-08-23T20:01:04.877,3,False
111,73,Autobiographer,2011-08-23T20:01:04.877,3,False
112,25,Critic,2011-08-23T20:01:04.940,3,False
113,64,Critic,2011-08-23T20:01:04.940,3,False
114,65,Critic,2011-08-23T20:01:04.940,3,False
116,16,Nice Question,2011-08-23T20:01:05.047,3,False
117,49,Student,2011-08-23T20:01:05.157,3,False
118,19,Supporter,2011-08-23T20:01:05.187,3,False
119,24,Supporter,2011-08-23T20:01:05.187,3,False
120,47,Supporter,2011-08-23T20:01:05.187,3,False
121,48,Supporter,2011-08-23T20:01:05.187,3,False
122,54,Supporter,2011-08-23T20:01:05.187,3,False
123,64,Supporter,2011-08-23T20:01:05.187,3,False
124,65,Supporter,2011-08-23T20:01:05.187,3,False
126,25,Teacher,2011-08-23T20:01:05.237,3,False
127,56,Teacher,2011-08-23T20:01:05.237,3,False
128,69,Teacher,2011-08-23T20:01:05.237,3,False
129,15,Editor,2011-08-23T20:06:05.977,3,False
130,69,Editor,2011-08-23T20:06:05.977,3,False
131,70,Editor,2011-08-23T20:06:05.977,3,False
